subject;palette;user_answer;time;ref;left;right;true_answer;correct;incorrect;baseline;luminance_left;luminance_right;luminance_total;luminance_diff;lab_left;lab_right;lab_total;lab_diff;ucs_left;ucs_right;ucs_total;ucs_diff;name_left;name_right;name_total;name_diff;sal_left;sal_right;sal_ref;create_time
59ab5b0b6592220933cba933;viridis;a;1778;0.8;0.75;0.9;a;true;0;0.05;3.359;7.555;10.914;4.196;12.847;29.151;41.465;16.304;5.952;12.779;18.581;6.827;0.010;0.334;0.385;0.324;0.397;0.202;0.436;Sat Sep 02 2017 18:30:20 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;6270;0.6;0.2;0.8;b;false;1;0.20;29.839;14.610;44.449;15.229;83.112;47.787;122.369;35.325;47.036;24.677;68.105;22.359;0.942;0.346;1.000;0.596;0.318;0.436;0.278;Sat Sep 02 2017 18:30:27 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;1651;0.1;0.05;0.2;a;true;0;0.05;4.425;8.405;12.830;3.980;6.786;18.385;23.982;11.599;6.276;12.425;18.471;6.149;0.010;0.580;0.682;0.570;0.510;0.318;0.411;Sat Sep 02 2017 18:30:28 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;4309;0.4;0.35;0.5;a;true;0;0.05;3.628;7.705;11.334;4.077;10.189;20.984;31.150;10.795;6.085;12.749;18.775;6.664;0.029;0.316;0.502;0.287;0.280;0.228;0.224;Sat Sep 02 2017 18:30:33 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;1540;0.8;0.7;1;a;true;0;0.10;7.047;14.586;21.633;7.539;25.096;51.683;72.260;26.587;12.144;24.140;34.912;11.996;0.025;1.000;1.000;0.975;0.358;0.728;0.436;Sat Sep 02 2017 18:30:34 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;742;0.6;0.5;0.8;a;true;0;0.10;7.144;14.610;21.754;7.466;20.689;47.787;66.366;27.098;11.788;24.677;36.001;12.889;0.180;0.346;0.826;0.166;0.228;0.436;0.278;Sat Sep 02 2017 18:30:35 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;748;0.3;0.2;0.35;b;false;1;0.05;7.527;3.835;11.362;3.692;21.333;10.941;32.223;10.392;11.936;6.296;18.117;5.640;0.071;0.015;0.115;0.056;0.318;0.280;0.365;Sat Sep 02 2017 18:30:36 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;713;0.55;0.35;0.95;a;true;0;0.20;14.717;29.435;44.152;14.718;40.883;89.665;117.569;48.782;24.342;46.950;67.261;22.608;0.585;0.991;1.000;0.406;0.280;0.490;0.241;Sat Sep 02 2017 18:30:36 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;2090;0.55;0.15;0.75;b;false;1;0.20;30.283;15.012;45.296;15.271;82.642;46.346;123.179;36.296;46.855;24.927;68.055;21.928;0.947;0.712;1.000;0.235;0.339;0.397;0.241;Sat Sep 02 2017 18:30:39 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;928;0.45;0.25;0.85;a;true;0;0.20;14.857;29.626;44.484;14.769;41.554;87.439;121.996;45.885;24.104;48.140;68.625;24.036;0.374;0.940;1.000;0.566;0.372;0.297;0.226;Sat Sep 02 2017 18:30:39 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;2285;0.7;0.5;0.8;b;false;1;0.10;14.708;7.047;21.754;7.661;44.205;25.096;66.366;19.109;24.399;12.144;36.001;12.255;0.712;0.025;0.826;0.687;0.228;0.436;0.358;Sat Sep 02 2017 18:30:42 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;1705;0.3;0.25;0.4;a;true;0;0.05;3.699;7.463;11.162;3.764;10.705;21.117;31.783;10.412;5.952;12.349;18.205;6.397;0.010;0.077;0.113;0.067;0.372;0.224;0.365;Sat Sep 02 2017 18:30:45 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;b;1501;0.6;0.5;0.65;b;true;0;0.05;7.144;3.852;10.996;3.292;20.689;11.742;32.285;8.947;11.788;6.357;18.098;5.431;0.180;0.099;0.487;0.081;0.228;0.315;0.278;Sat Sep 02 2017 18:30:46 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;b;1636;0.4;0;0.6;b;true;0;0.20;31.908;14.850;46.758;17.058;66.488;41.549;104.523;24.939;45.042;24.419;64.396;20.623;0.977;0.620;0.999;0.357;0.480;0.278;0.224;Sat Sep 02 2017 18:30:48 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;1580;0.7;0.6;0.9;a;true;0;0.10;7.563;14.602;22.165;7.039;24.033;52.802;72.665;28.769;12.751;24.563;36.527;11.812;0.243;0.412;0.611;0.169;0.278;0.202;0.358;Sat Sep 02 2017 18:30:50 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;751;0.4;0.3;0.45;b;false;1;0.05;7.463;3.696;11.158;3.767;21.117;9.818;30.915;11.299;12.349;6.029;18.319;6.320;0.077;0.098;0.328;-0.021;0.365;0.226;0.224;Sat Sep 02 2017 18:30:50 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;635;0.3;0.2;0.5;a;true;0;0.10;7.527;15.168;22.695;7.641;21.333;42.027;63.046;20.694;11.936;24.918;36.130;12.982;0.071;0.635;0.716;0.564;0.318;0.228;0.365;Sat Sep 02 2017 18:30:51 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;648;0.3;0.1;0.4;b;false;1;0.10;15.932;7.463;23.395;8.469;39.306;21.117;59.896;18.189;23.959;12.349;35.348;11.610;0.863;0.077;0.895;0.786;0.411;0.224;0.365;Sat Sep 02 2017 18:30:52 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;722;0.5;0.4;0.7;a;true;0;0.10;7.705;14.708;22.413;7.003;20.984;44.205;64.473;23.221;12.749;24.399;36.752;11.650;0.316;0.712;0.919;0.396;0.224;0.358;0.228;Sat Sep 02 2017 18:30:52 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;b;1696;0.6;0.4;0.7;b;true;0;0.10;14.850;7.563;22.413;7.287;41.549;24.033;64.473;17.516;24.419;12.751;36.752;11.668;0.620;0.243;0.919;0.377;0.224;0.358;0.278;Sat Sep 02 2017 18:30:54 GMT-0700 (PDT)
59ab5b0b6592220933cba933;viridis;a;1321;0.6;0.55;0.7;a;true;0;0.05;3.761;7.563;11.324;3.802;10.930;24.033;34.722;13.103;6.150;12.751;18.844;6.601;0.119;0.243;0.619;0.124;0.241;0.358;0.278;Sat Sep 02 2017 18:30:55 GMT-0700 (PDT)
